COM_AV,COM_AP,NCC_AV,NCC_AP
22173,22093,PLANGUENOUAL,LAMBALLE ARMOR
16214,16192,MAZIERES,TERRES DE HAUTE CHARENTE
22247,22264,POMMERIT JAUDY,ROCHE JAUDY
26297,26210,SAINT BONNET DE VALCLERIEUX,VALHERBASSE
26184,26210,MIRIBEL,VALHERBASSE
25250,25558,FOUCHERANS,TARCENAY FOUCHERANS
25140,25156,CHAUX LES CLERVAL,PAYS DE CLERVAL
25027,25245,ARGUEL,FONTAIN
24561,24064,VALEUIL,BRANTOME EN PERIGORD
24539,24172,SIREUIL,EYZIES
24530,24064,SENCENAC PUY DE FOURCHES,BRANTOME EN PERIGORD
24433,24423,SAINT JULIEN D EYMET,SAINT JULIEN INNOCENCE EULALIE
24431,24259,SAINT JULIEN DE CREMPSE,EYRAUD CREMPSE MAURENS
24430,24064,SAINT JULIEN DE BOURDEILLES,BRANTOME EN PERIGORD
24427,24259,SAINT JEAN D EYRAUD,EYRAUD CREMPSE MAURENS
24402,24423,SAINTE EULALIE D EYMET,SAINT JULIEN INNOCENCE EULALIE
24391,24064,SAINT CREPIN DE RICHEMONT,BRANTOME EN PERIGORD
24389,24172,SAINT CIRQ,EYZIES
24249,24172,MANAURIE,EYZIES
24233,24259,LAVEYSSIERE,EYRAUD CREMPSE MAURENS
24198,24064,GONTERIE BOULOUNEIX,BRANTOME EN PERIGORD
49335,49080,SOEURDRES,HAUTS D ANJOU
24170,24064,EYVIRAT,BRANTOME EN PERIGORD
24127,24364,COLY,COLY SAINT AMAND
24079,24064,CANTILLAC,BRANTOME EN PERIGORD
23126,23189,MASBARAUD MERIGNAT,SAINT DIZIER MASBARAUD
22253,22264,POULDOURAN,ROCHE JAUDY
16228,16339,MONTIGNE,VAL D AUGE
16202,16153,MAINXE,MAINXE GONDEVILLE
27024,27198,RONCENAY AUTHENAY,MESNILS SUR ITON
09135,09334,GOULIER,VAL DE SOS
08152,08173,ELAN,FLIZE
08079,08173,BOUTANCOURT,FLIZE
08042,08173,BALAIVES ET BUTZ,FLIZE
07256,07165,SAINT JULIEN LABROUSSE,BELSENTES
07252,07103,SAINT JULIEN BOUTIERES,SAINT JULIEN D INTRES
07135,07262,LAVAL D AURELLE,SAINT LAURENT LES BAINS LAVAL D AURELLE
07016,07011,ASPERJOC,VALLEES D ANTRAIGUES ASPERJOC
05120,05001,RISTOLAS,ABRIES RISTOLAS
02733,02153,SUZY,CESSIERES SUZY
02475,02360,MENNEVILLE,VILLENEUVE SUR AISNE
02434,02018,LIZY,ANIZY LE GRAND
02301,02018,FAUCOUCOURT,ANIZY LE GRAND
01442,01036,VIEU,VALROMEY SUR SERAN
01417,01185,THEZILLIEU,PLATEAU D HAUTEVILLE
01414,01036,SUTRIEU,VALROMEY SUR SERAN
01413,01215,SURJOUX,SURJOUX LHOPITAL
01221,01036,LOMPNIEU,VALROMEY SUR SERAN
01218,01453,LOCHIEU,ARVIERE EN VALROMEY
01205,01033,LANCRANS,VALSERHONE
01186,01185,HOSTIAZ,PLATEAU D HAUTEVILLE
01154,01130,ETREZ,BRESSE VALLONS
01122,01185,CORMARANCHE EN BUGEY,PLATEAU D HAUTEVILLE
01097,01453,CHAVORNAY,ARVIERE EN VALROMEY
01091,01033,CHATILLON EN MICHAILLE,VALSERHONE
09028,09296,AULOS,AULOS SINSAT
09286,09334,SEM,VAL DE SOS
16156,16286,GOURVILLE,ROUILLAC
09302,09334,SUC ET SENTENAC,VAL DE SOS
16149,16192,GENOUILLAC,TERRES DE HAUTE CHARENTE
16051,16339,BONNEVILLE,VAL D AUGE
16017,16339,ANVILLE,VAL D AUGE
15136,15027,MOURJOU,PUYCAPEL
14703,14150,TOURNEBU,CESNY LES SOURCES
14691,14538,TILLY LA CAMPAGNE,CASTINE EN PLAINE
14641,14126,SAINT PAIR DU MONT,CAMBREMER
14604,14126,SAINT LAURENT DU MONT,CAMBREMER
14561,14126,SAINT AUBIN SUR ALGOT,CAMBREMER
14548,14406,RUCQUEVILLE,MOULINS EN BESSIN
14505,14150,PLACY,CESNY LES SOURCES
14339,14538,HUBERT FOLIE,CASTINE EN PLAINE
14315,14126,GRANDOUET,CAMBREMER
14307,14713,GOUPILLIERES,MONTILLIERES SUR ORNE
14294,14554,GARCELLES SECQUEVILLE,CASTELET
14212,14406,CULLY,MOULINS EN BESSIN
14186,14406,COULOMBS,MOULINS EN BESSIN
14185,14514,COUDRAY RABUT,PONT L EVEQUE
14170,14014,COLOMBY SUR THAON,COLOMBY ANGUERNY
14013,14150,ANGOVILLE,CESNY LES SOURCES
14002,14150,ACQUEVILLE,CESNY LES SOURCES
11329,11131,ROUVENAC,VAL DU FABY
11298,11251,PRADELLES EN VAL,VAL DE DAGNE
11097,11323,CONILHAC DE LA MONTAGNE,ROQUETAILLADE ET CONILHAC
26354,26086,TRESCHENU CREYERS,CHATILLON EN DIOIS
27143,27685,CHAMPIGNOLLES,VIEILLE LYRE
42004,42268,AMIONS,VEZELIN SUR LOIRE
41257,41059,THENAY,CONTROIS EN SOLOGNE
41170,41059,OUCHAMPS,CONTROIS EN SOLOGNE
41092,41059,FOUGERES SUR BIEVRE,CONTROIS EN SOLOGNE
41082,41059,FEINGS,CONTROIS EN SOLOGNE
40302,40197,SINDERES,MORCENX LA NOUVELLE
40107,40197,GARROSSE,MORCENX LA NOUVELLE
27166,27198,CONDE SUR ITON,MESNILS SUR ITON
39562,39130,VILLARD SUR BIENNE,NANCHEZ
39483,39137,SAINT HYMETIERE,SAINT HYMETIERE SUR VALOUSE
39442,39130,PRENOVEL,NANCHEZ
39440,39286,PRATZ,LAVANS LES SAINT CLAUDE
39438,39286,PONTHOUX,LAVANS LES SAINT CLAUDE
39417,39130,PIARDS,NANCHEZ
39414,39190,PETIT MERCEY,DAMPIERRE
39287,39137,LAVANS SUR VALOUSE,SAINT HYMETIERE SUR VALOUSE
39115,39258,CHATEAU DES PRES,GRANDE RIVIERE CHATEAU
01059,01453,BRENAZ,ARVIERE EN VALROMEY
39089,39137,CEZIA,SAINT HYMETIERE SUR VALOUSE
39075,39199,BRERY,DOMBLANS
38435,38395,SAINT PANCRASSE,PLATEAU DES PETITES ROCHES
41263,41070,TREHET,VALLEE DE RONSARD
42082,42268,DANCE,VEZELIN SUR LOIRE
38306,38163,PINSOT,HAUT BREDA
42291,42245,SAINT THURIN,VETRE SUR ANZON
49289,49298,SAINT JEAN DE LINIERES,SAINT LEGER DE LINIERES
49274,49060,SAINT CYR EN BOURG,BELLEVIGNE LES CHATEAUX
49254,49080,QUERRE,HAUTS D ANJOU
49189,49080,MARIGNE,HAUTS D ANJOU
49159,49174,HUILLE,HUILLE LEZIGNE
49105,49080,CONTIGNE,HAUTS D ANJOU
49096,49080,CHERRE,HAUTS D ANJOU
49065,49080,CHAMPIGNE,HAUTS D ANJOU
49051,49080,BRISSARTHE,HAUTS D ANJOU
49046,49060,BREZE,BELLEVIGNE LES CHATEAUX
48197,48127,VILLEDIEU,MONTS DE RANDON
48189,48127,SERVIERES,MONTS DE RANDON
48184,48038,SAINT SYMPHORIEN,BEL AIR VAL D ANCE
48133,48127,SAINT AMANS,MONTS DE RANDON
48078,48126,LACHAMP,LACHAMP RIBENNES
48057,48127,ESTABLES,MONTS DE RANDON
46300,46033,SAUX,PORTE DU QUERCY
46298,46083,SARRAZAC,CRESSENSAC SARRAZAC
46285,46263,SAINT PANTALEON,BARGUELONNE EN QUERCY
46278,46033,SAINT MATRE,PORTE DU QUERCY
46099,46033,FARGUES,PORTE DU QUERCY
46067,46232,CAZILLAC,VIGNON EN QUERCY
46014,46263,BAGAT EN QUERCY,BARGUELONNE EN QUERCY
44160,44003,SAINT GEREON,ANCENIS SAINT GEREON
38367,38395,SAINT BERNARD,PLATEAU DES PETITES ROCHES
40009,40197,ARJUZANX,MORCENX LA NOUVELLE
38302,38073,PERIER,CHANTEPERIER
29219,29199,PONTHOU,PLOUIGNEAU
28412,28406,VILLEAU,EOLE EN BEAUCE
28376,28018,SOIZE,AUTHON DU PERCHE
