,originID,destID
0,0,550
1,0,401
2,0,583
3,0,1070
4,0,196
5,0,1285
6,0,1535
7,0,2204
8,0,1055
9,0,2197
10,0,1515
11,0,1898
12,0,1488
13,0,2441
14,0,954
15,0,49
16,0,2507
17,0,1692
18,0,236
19,0,0
20,0,2120
21,0,210
22,0,215
23,0,385
24,0,2298
25,0,1346
26,0,1388
27,0,370
28,0,735
29,0,2506
30,0,1945
31,1,1244
32,1,981
33,1,2302
34,1,1936
35,1,1636
36,1,2490
37,1,421
38,1,2548
39,1,1092
40,1,1291
41,1,1
42,1,1053
43,1,229
44,1,1348
45,1,1353
46,1,490
47,1,1884
48,1,1347
49,1,1328
50,1,1647
51,1,41
52,1,107
53,1,2259
54,1,146
55,2,728
56,2,2027
57,2,832
58,2,1099
59,2,2294
60,2,186
61,2,1524
62,2,87
63,2,2
64,2,1477
65,2,1120
66,2,1909
67,2,1989
68,2,1267
69,2,1991
70,2,2491
71,2,2026
72,2,719
73,3,1540
74,3,2146
75,3,1359
76,3,656
77,3,1054
78,3,1711
79,3,17
80,3,1729
81,3,859
82,3,2173
83,3,3
84,3,1296
85,3,1650
86,3,2489
87,3,2199
88,3,84
89,4,1476
90,4,1648
91,4,122
92,4,1033
93,4,2338
94,4,776
95,4,2522
96,4,1940
97,4,1398
98,4,4
99,4,2473
100,4,2250
101,4,2450
102,4,975
103,5,725
104,5,1533
105,5,754
106,5,316
107,5,901
108,5,2137
109,5,1180
110,5,5
111,5,1205
112,5,697
113,5,917
114,5,1003
115,5,2183
116,5,2323
117,5,1959
118,5,853
119,5,1916
120,5,182
121,5,2081
122,6,1011
123,6,2191
124,6,64
125,6,6
126,6,138
127,6,1896
128,6,1132
129,6,2272
130,6,1220
131,6,2129
132,6,526
133,7,126
134,7,530
135,7,1478
136,7,548
137,7,1672
138,7,1930
139,7,418
140,7,780
141,7,7
142,7,879
143,7,2547
144,7,487
145,7,2025
146,7,1690
147,7,380
148,7,132
149,7,611
150,8,1837
151,8,1996
152,8,558
153,8,699
154,8,2119
155,8,2453
156,8,35
157,8,1659
158,8,480
159,8,400
160,8,8
161,8,2024
162,8,327
163,8,714
164,8,681
165,8,1186
166,9,9
167,9,2258
168,9,640
169,9,248
170,9,723
171,9,1901
172,10,2077
173,10,443
174,10,659
175,10,1629
176,10,1755
177,10,2399
178,10,1139
179,10,813
180,10,1061
181,10,369
182,10,10
183,10,1704
184,10,1944
185,10,1534
186,10,2317
187,10,2224
188,10,2365
189,10,1598
190,10,2287
191,10,793
192,10,2459
193,11,2018
194,11,2219
195,11,1991
196,11,668
197,11,326
198,11,862
199,11,860
200,11,2346
201,11,736
202,11,1925
203,11,994
204,11,1137
205,11,1548
206,11,2294
207,11,1524
208,11,186
209,11,11
210,11,2008
211,11,2029
212,11,113
213,12,1490
214,12,1926
215,12,101
216,12,1563
217,12,211
218,12,1857
219,12,1815
220,12,256
221,12,692
222,12,12
223,12,2055
224,12,1905
225,12,720
226,12,2123
227,12,1245
228,12,2252
229,12,477
230,12,2261
231,12,2378
232,12,2021
233,13,52
234,13,213
235,13,2028
236,13,2106
237,13,2377
238,13,2245
239,13,1769
240,13,935
241,13,1425
242,13,1643
243,13,981
244,13,1221
245,13,146
246,13,1912
247,13,1328
248,13,1348
249,13,1347
250,13,2200
251,13,2080
252,13,724
253,13,13
254,13,2011
255,13,565
256,13,971
257,13,490
258,13,227
259,13,2241
260,13,2090
261,14,307
262,14,260
263,14,1675
264,14,1941
265,14,2339
266,14,2421
267,14,1183
268,14,1536
269,14,1078
270,14,547
271,14,14
272,14,850
273,14,100
274,14,1018
275,14,1929
276,14,848
277,14,492
278,14,1961
279,14,31
280,15,1454
281,15,2035
282,15,212
283,15,711
284,15,2545
285,15,170
286,15,1736
287,15,1715
288,15,475
289,15,1282
290,15,2022
291,15,1839
292,15,1575
293,15,2256
294,15,15
295,15,1320
296,16,1320
297,16,247
298,16,2207
299,16,394
300,16,660
301,16,1470
302,16,2075
303,16,1798
304,16,1032
305,16,745
306,16,1088
307,16,170
308,16,1485
309,16,1796
310,16,16
311,16,319
312,16,493
313,16,833
314,16,2031
315,16,1734
316,17,1540
317,17,84
318,17,1711
319,17,17
320,17,1729
321,17,3
322,17,2173
323,17,1054
324,17,859
325,18,2218
326,18,1634
327,18,2213
328,18,18
329,18,124
330,18,1727
331,18,519
332,18,1580
333,18,1771
334,18,825
335,18,217
336,18,2202
337,18,1261
338,18,559
339,18,509
340,18,1805
341,18,65
342,18,632
343,18,1214
344,18,72
345,18,265
346,18,2109
347,18,1967
348,18,372
349,18,1021
350,18,1846
351,18,2329
352,18,721
353,18,1312
354,18,966
355,18,1037
356,18,1750
357,18,2064
358,18,436
359,18,648
360,18,540
361,18,2190
362,18,1958
363,19,2315
364,19,2148
