,NUM_EXP,ADR1,ADR2,COMMUNE,CP,CC,LATITUDE,LONGITUDE,GEO_SCORE,DEP,polyID,degrees
159,44180093.0, ST GERMAIN,FREIGNE,VALLONS DE L ERDRE,44540,44180,47.549941,-1.120268,0.52,44,159,26
160,44197119.0,1 LE PONT,,SION LES MINES,44590,44197,47.717846,-1.568674,0.73,44,160,20
161,44081039.0, LA SORINIERE,,LEGE,44650,44081,46.87268,-1.575709,0.96,44,161,8
162,44213040.0,LE PATIS NEUF,,LOIREAUXENCE,44370,44213,47.38876,-1.028648,0.51,44,162,15
163,44058042.0,LE VERTONNAY,,FERCE,44660,44058,47.821983,-1.4092,0.31,44,163,14
164,44026413.0,1 CHEMIN DE LONGERE,LA MENERAIS,CARQUEFOU,44470,44026,47.306965,-1.471137,0.71,44,164,4
165,44182023.0,LA GRENOUILLERE,,ST MICHEL CHEF CHEF,44730,44182,47.173981,-2.09727,0.74,44,165,17
166,44146105.0, 1 RUE DU SACRE COEUR,,ROUGE,44660,44146,47.780917,-1.446376,0.81,44,166,21
167,44129070.0,LA PORCHERAIE CASSO,,PONTCHATEAU,44160,44129,47.489073,-2.077787,0.75,44,167,17
168,44067210.0,NAIN,,GUEMENE PENFAO,44290,44067,47.634671,-1.82562,0.48,44,168,17
169,44127027.0,8 Bis LA JOUSSIERE,,LA PLANCHE,44140,44127,47.029804,-1.45446,0.76,44,169,10
170,44157003.0,LA JAUMERIE,,ST ETIENNE DE MER MORTE,44270,44157,46.96326,-1.739859,0.78,44,170,15
171,44072051.0,L'ETANG,,HERBIGNAC,44410,44072,47.439756,-2.325159,0.47,44,171,11
172,44224059.0,13 LA GREE DE BOISDIN,,LA GRIGONNAIS,44170,44224,47.514505,-1.659703,0.82,44,172,19
173,44048062.0,LA GALLIERE,,COUFFE,44521,44048,47.39755,-1.27365,0.54,44,173,11
174,44045120.0,LE VIVIER,,CORDEMAIS,44360,44045,47.292949,-1.846924,0.76,44,174,10
175,44050158.0,LA BRIONNIERE,,CROSSAC,44160,44050,47.406585,-2.134685,0.79,44,175,11
176,44084017.0, LA LANDE,,LE LOROUX BOTTEREAU,44430,44084,47.235099,-1.336502,0.89,44,176,7
177,44107045.0,6 BELAN,,MOUZEIL,44850,44107,47.422283,-1.32485,0.46,44,177,11
178,44008185.0, DOMAINE DU CHAMP CHAPRON,BARBECHAT,DIVATTE SUR LOIRE,44450,44029,47.290805,-1.292722,0.6,44,178,8
179,44216074.0, LA BRETINIERE,,VIEILLEVIGNE,44116,44216,46.975289,-1.449145,0.88,44,179,10
180,44105010.0, LE PRE DANIEL,,MOUAIS,44590,44105,47.692891,-1.644292,0.76,44,180,20
181,44139010.0,8 LE PARC,,QUILLY,44750,44139,47.448977,-1.939342,0.63,44,181,19
182,44201061.0,LA MAILLERE,,SUCE SUR ERDRE,44240,44201,47.345237,-1.558938,0.89,44,182,12
183,44219020.0,VILAINE,VRITZ,VALLONS DE L ERDRE,44540,44180,47.582405,-1.07428,0.59,44,183,14
184,44081725.0,SALVERT,,LEGE,44650,44081,46.918839,-1.589609,0.68,44,184,11
185,44087063.0,20 RUE DE NANTES,,MACHECOUL ST MEME,44270,44087,46.991278,-1.808273,0.76,44,185,17
186,44068178.0,BEL AIR,,GUENROUET,44530,44068,47.535857,-2.000543,0.75,44,186,8
187,44141010.0,SAINTE CATHERINE,,LA REMAUDIERE,44430,44141,47.23343,-1.248731,0.4,44,187,14
188,44014025.0,1 LES BAUCHES NORD,,LE BIGNON,44140,44014,47.085772,-1.543383,0.63,44,188,4
189,44187458.0,LA CHESNAIE,,ST PERE EN RETZ,44320,44187,47.232287,-2.044052,0.62,44,189,15
190,44216588.0,LA MILTIERE,,VIEILLEVIGNE,44116,44216,46.983021,-1.430052,0.88,44,190,14
191,44128177.0,LA BUDRAIS,,PLESSE,44630,44128,47.568651,-1.923021,0.53,44,191,24
192,44051316.0,3 LE LUGAS,,DERVAL,44590,44051,47.652205,-1.727515,0.64,44,192,12
193,44099081.0, DENAZE,,MOISDON LA RIVIERE,44520,44099,47.62378,-1.365972,0.67,44,193,16
194,44180081.0, LA DONNELIERE,FREIGNE,VALLONS DE L ERDRE,44540,44180,47.548226,-1.122564,0.63,44,194,26
195,44209043.0,27 RUE DU CARNIBOT,,TREILLIERES,44119,44209,47.326019,-1.640056,0.74,44,195,8
196,44158074.0,12 LA PETITE ROUILLONNAIS,,ST ETIENNE DE MONTLUC,44360,44158,47.287046,-1.745996,0.75,44,196,17
197,44008018.0,10 LA BOISIERE,BARBECHAT,DIVATTE SUR LOIRE,44450,44029,47.287314,-1.287242,0.63,44,197,9
198,44065046.0,LA CHAUVIERE,,GRAND AUVERNE,44520,44065,47.561997,-1.338383,0.51,44,198,9
199,44123003.0,LA BIGNONNAIS,,PIERRIC,44290,44123,47.699283,-1.750024,0.78,44,199,9
200,44158175.0,LE REILLY,,ST ETIENNE DE MONTLUC,44360,44158,47.247574,-1.766437,0.73,44,200,16
201,44051003.0,29 RUE DE RENNE,,DERVAL,44590,44051,47.669624,-1.672922,0.77,44,201,25
202,44082048.0,MOULIN DE LA GAGNERIE,,LIGNE,44850,44082,47.395438,-1.364931,0.86,44,202,9
203,44085153.0,2 LA GAUFFRIERE,,LOUISFERT,44110,44085,47.667092,-1.441595,0.8,44,203,11
204,44021024.0,LE NITON ST CYR,,VILLENEUVE EN RETZ,44580,44021,47.032326,-1.900646,0.47,44,204,9
205,44142017.0,LE PEDROILLON,,REMOUILLE,44140,44142,47.019499,-1.37398,0.79,44,205,4
206,44188119.0,GRELE - RIQUELANDIERE,,ST PHILBERT DE GRAND LIEU,44310,44188,47.038925,-1.654586,0.7,44,206,8
207,44058001.0, LA JAUNIERE,,FERCE,44660,44058,47.8173,-1.404011,0.44,44,207,16
208,44149068.0,LA BRIANDAIS,,SAFFRE,44390,44149,47.493328,-1.627201,0.48,44,208,19
209,44054003.0,LA HAIE BESNOU,,ERBRAY,44110,44054,47.672911,-1.375919,0.78,44,209,17
210,44158025.0,6 BD DE VERDUN,,ST ETIENNE DE MONTLUC,44360,44158,47.276469,-1.782712,0.62,44,210,18
211,44031204.0,LA HAUTE ROBINAIS,,LA CHAPELLE GLAIN,44670,44031,47.607769,-1.194211,0.56,44,211,18
212,44119044.0,3 LE BOIS DE FRANCE,,PAULX,44270,44119,46.964534,-1.745357,0.73,44,212,17
213,44056096.0,2 Bis LA BROSSE,,FAY DE BRETAGNE,44130,44056,47.372499,-1.820515,0.72,44,213,14
214,44178010.0,L'AUDUZE,,ST MARS DE COUTAIS,44680,44178,47.067368,-1.772433,0.69,44,214,11
215,44158026.0,LE DOUET RENARD,,ST ETIENNE DE MONTLUC,44360,44158,47.27051,-1.803295,0.76,44,215,16
